    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
       14525.13454,      0.1766532149,      0.2354067718,                 0,                 0,                 0,     0.09682110872,      0.1649852894,      0.2437264057,                 0,       1.332592627,   0.0006462560993
       14525.13454,      0.2419971507,      0.3297319217,                 0,                 0,                 0,      0.1265958856,      0.2256604511,      0.3411203922,                 0,       1.362544645,   0.0006462560993
       14525.13454,      0.2613965149,       0.316314344,                 0,                 0,                 0,      0.1173688478,      0.2456899267,      0.3286629917,                 0,       1.210093961,   0.0006462560993
       14525.13454,      0.2607832673,      0.2791220018,                 0,                 0,                 0,      0.1006811371,      0.2468877599,      0.2914848854,                 0,       1.070321745,   0.0006462560993
       14525.13454,      0.2515967738,      0.2529335782,                 0,                 0,                 0,     0.08921968739,      0.2389868887,      0.2648803477,                 0,       1.005313281,   0.0006462560993
       14525.13454,      0.2399677767,      0.2410495507,                 0,                 0,                 0,     0.08414661924,      0.2279501364,      0.2524443603,                 0,       1.004507997,   0.0006462560993
       14525.13454,      0.2298348147,      0.2373485667,                 0,                 0,                 0,     0.08279270855,      0.2180093326,      0.2482545369,                 0,       1.032691966,   0.0006462560993
       14525.13454,      0.2211501839,      0.2362545609,                 0,                 0,                 0,     0.08272660865,      0.2093882473,      0.2467390996,                 0,       1.068299184,   0.0006462560993
       14525.13454,      0.2129866745,      0.2352583943,                 0,                 0,                 0,     0.08284360539,      0.2012829035,      0.2453467514,                 0,       1.104568607,   0.0006462560993
       14525.13454,      0.2047265812,       0.233912538,                 0,                 0,                 0,     0.08296277451,      0.1930981114,      0.2436004267,                 0,       1.142560661,   0.0006462560993
       14525.13454,      0.1961862118,      0.2324746777,                 0,                 0,                 0,      0.0832328071,      0.1846378538,      0.2417485645,                 0,       1.184969502,   0.0006462560993
       14525.13454,       0.187457001,      0.2311948928,                 0,                 0,                 0,     0.08376787243,      0.1759812843,      0.2400453984,                 0,       1.233322264,   0.0006462560993
       14525.13454,      0.1787203051,      0.2301695339,                 0,                 0,                 0,     0.08459267294,      0.1673048542,      0.2385959923,                 0,       1.287875677,   0.0006462560993
       14525.13454,      0.1701722218,      0.2294151876,                 0,                 0,                 0,     0.08567967539,      0.1588036216,      0.2374264584,                 0,       1.348135349,   0.0006462560993
       14525.13454,      0.1619841408,      0.2289195601,                 0,                 0,                 0,     0.08698158735,      0.1506493713,      0.2365328599,                 0,       1.413222053,   0.0006462560993
       14525.13454,       0.154299442,      0.2286670837,                 0,                 0,                 0,      0.0884456466,      0.1429860709,      0.2359066266,                 0,       1.481969609,   0.0006462560993
       14525.13454,      0.1472297308,      0.2286316369,                 0,                 0,                 0,     0.09000919258,      0.1359264652,      0.2355271005,                 0,        1.55289041,   0.0006462560993
       14525.13454,      0.1408547179,      0.2287716241,                 0,                 0,                 0,     0.09160105426,       0.129552195,      0.2353566152,                 0,        1.62416728,   0.0006462560993
       14525.13454,      0.1352208301,       0.229046682,                 0,                 0,                 0,     0.09315524028,      0.1239115968,      0.2353571151,                 0,       1.693871291,   0.0006462560993
       14525.13454,      0.1303416455,      0.2294216633,                 0,                 0,                 0,     0.09461394423,      0.1190199433,      0.2354941554,                 0,       1.760156261,   0.0006462560993
       14525.13454,      0.1262011446,      0.2298714926,                 0,                 0,                 0,     0.09593033499,      0.1148624548,      0.2357419108,                 0,       1.821469158,   0.0006462560993
       14525.13454,      0.1227597601,      0.2303826335,                 0,                 0,                 0,     0.09706903528,      0.1114002695,      0.2360849349,                 0,       1.876695045,   0.0006462560993
       14525.13454,      0.1199629456,      0.2309543504,                 0,                 0,                 0,     0.09800657837,      0.1085789417,      0.2365198379,                 0,       1.925214067,   0.0006462560993
       14525.13454,      0.1177496441,      0.2315998704,                 0,                 0,                 0,     0.09873265967,      0.1063368427,      0.2370568593,                 0,       1.966883825,   0.0006462560993
       14525.13454,      0.1160583213,      0.2323456525,                 0,                 0,                 0,     0.09925078222,      0.1046112234,      0.2377194315,                 0,       2.001973231,   0.0006462560993
       14525.13454,      0.1148311154,      0.2332269477,                 0,                 0,                 0,     0.09957768613,      0.1033425747,      0.2385399473,                 0,       2.031043128,   0.0006462560993
