"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-01, 9.428599150851370e-04, 4.606581639282541e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.050609005296062e+05, 1.000000000000000e-10, 2.661261068471704e+08, 4.202436021184245e+04, 3.177991149572810e+02, 0.000000000000000e+00, 2.416054171919725e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928948901106981e-05, 2.672082830876612e-03, -1.158354982930800e-04, -1.935043666087257e+02, 2.458077155335573e+00, 1.730969611981740e-19
51, 9.695732593536380e-01, 1.489007263444360e-03, 4.657621781172203e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.062806511812098e+05, 1.000000000000000e-10, 2.636807118994000e+08, 4.251226047248388e+04, 3.179657369696430e+02, 0.000000000000000e+00, 2.751954854484187e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929715225143727e-05, 2.133281633309910e-03, -4.801625104381823e-05, -1.063571733598557e+02, 2.206898338519175e+00, 1.766378046370002e-19
77, 9.526804089546200e-01, 1.679251203313470e-03, 4.692479257172474e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.071180204463170e+05, 1.000000000000000e-10, 2.618415996025743e+08, 4.284720817852677e+04, 3.180903641973256e+02, 0.000000000000000e+00, 2.982553548847037e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930288277888976e-05, 1.868836179564635e-03, -1.206367182934978e-06, -8.868432639850599e+01, 2.072495179040134e+00, 1.792096441520977e-19
103, 9.349957108497620e-01, 1.511327689513560e-03, 4.706230470630942e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.074531356892680e+05, 1.000000000000000e-10, 2.611333271151159e+08, 4.298125427570719e+04, 3.181531583023981e+02, 0.000000000000000e+00, 3.074839163695465e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930576971536769e-05, 1.730629490368163e-03, 3.651060961939288e-05, -8.343314295439394e+01, 1.997207593896783e+00, 1.802222993600554e-19
129, 9.168222546577450e-01, 9.227616828866300e-04, 4.708144153960176e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.075024776570715e+05, 1.000000000000000e-10, 2.610305354664229e+08, 4.300099106282857e+04, 3.181698760546816e+02, 0.000000000000000e+00, 3.088427187315267e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930653826051352e-05, 1.656322031295914e-03, 6.792322554177183e-05, -8.139968760900136e+01, 1.954821617017888e+00, 1.803666009153240e-19
155, 8.983380794525150e-01, 8.054462341533510e-06, 4.703314286208991e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.073876029581832e+05, 1.000000000000000e-10, 2.613302255259842e+08, 4.295504118327327e+04, 3.181562688020363e+02, 0.000000000000000e+00, 3.056792451383606e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930591271214461e-05, 1.617194151388836e-03, 9.295298772049986e-05, -8.017636114611247e+01, 1.931304629812241e+00, 1.799749794280389e-19
181, 8.797067403793331e-01, -1.210561604239050e-03, 4.691093026682900e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.070964820279997e+05, 1.000000000000000e-10, 2.621807325596507e+08, 4.283859281119985e+04, 3.181203828301534e+02, 0.000000000000000e+00, 2.976622197710121e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930426290995491e-05, 1.604419815061565e-03, 1.158227726254966e-04, -7.935231640145685e+01, 1.921535838521644e+00, 1.789250574408723e-19
207, 8.610174655914310e-01, -2.686113817617300e-03, 4.676803334764370e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.067546303841678e+05, 1.000000000000000e-10, 2.630757719782822e+08, 4.270185215366712e+04, 3.180738386633329e+02, 0.000000000000000e+00, 2.882481481041568e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930212297651626e-05, 1.604828198658874e-03, 1.347569698137819e-04, -7.895927759108251e+01, 1.919493410596659e+00, 1.777731959463871e-19
233, 8.422674536705020e-01, -4.354327917099000e-03, 4.660064496176166e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.063547254402982e+05, 1.000000000000000e-10, 2.640667815929614e+08, 4.254189017611925e+04, 3.180205614433660e+02, 0.000000000000000e+00, 2.772353773029992e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929967329131477e-05, 1.612381833886110e-03, 1.520756048729115e-04, -7.837919119085136e+01, 1.921393711067036e+00, 1.764722074191998e-19
259, 8.235722184181210e-01, -6.217850837856530e-03, 4.638299811969177e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.058378159465602e+05, 1.000000000000000e-10, 2.653188985531935e+08, 4.233512637862405e+04, 3.179599269884972e+02, 0.000000000000000e+00, 2.630004800686855e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929688507358592e-05, 1.630808360751127e-03, 1.698655750589562e-04, -7.839058970070762e+01, 1.928846454694507e+00, 1.748191182734708e-19
